,1015.3.30.F01.S900,1015.2.18.F01.S808A,1015.2.11.F01.S700A,1015.3.27.F01.S730,1015.2.20.F01.S1830,1015.1.27.F01.S,1015.2.07.F01.S2212,1015.3.19.F01.S800,1015.2.12.F01.S2200,1015.3.22.F01.S715,1015.2.08.F01.S2130,1015.2.01.F01.S2145,1015.2.16.F01.S1700,1015.2.01.F01.S946,1015.3.02.F01.S800,1015.3.21.F01.S800,1015.3.17.F01.S915,1015.2.24.F01.S400,1015.1.30.F01.S,1015.3.16.F01.S730,1015.2.04.F01.S100A,1015.2.20.F01.S2030,1015.1.20.F01.S,1015.2.09.F01.S1020P,1015.4.01.F01.S1100,1015.2.16.F01.S2030,1015.3.11.F01.S800,1015.2.22.F01,1015.1.23.F01.S,1015.2.25.F01.S2000,1015.2.27.F01.S800,1015.3.09.F01.S945,1015.1.31.F01.S745A,1015.1.22.F01.S.b,1015.2.06.F01.S2115,1015.3.31.F01.S1200,1015.3.15.F01.S815,1015.1.21.F01.S,1015.3.18.F01.S1500,1015.1.22.F01.S,1015.2.19.F01.S1737,1015.2.07.F01.S115A,1015.2.29.F01.S1030,1015.2.06.F01.S609A,1015.3.06.F01.S800,1015.3.04.F01.S700,1015.3.08.F01.S745,1015.2.07.F01.S1400,1015.1.25.F01.S1015A,1015.3.23.F01.S715,1015.3.10.F01.S800,1015.3.04.F01.S2359,1015.1.29.F01.S,1015.2.14.F01.S900A,1015.4.03.F01.S800,1015.3.14.F01.S800,1015.2.03.F01.S800A,1015.2.10.F01.S2100,1015.3.20.F01.S700,1015.3.12.F01.S730,1015.1.18.F01.S,1015.3.13.F01.S800,1015.1.24.F01.S,1015.1.19.F01.S,1015.2.19.F01.S1500,1015.1.26.F01.S,1015.2.12.F01.2200,1015.2.17.F01.S700A
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,745.4191392865941,490.30932979385557,787.9406138215301,796.2951780777922,567.9058620650642,710.2954698818444,837.6852992684313,785.98628617089,883.4738748540402,787.3841035175852,478.5695241848307,535.7989102677759,560.4571097607,678.9982072806744,428.4769369433111,831.7773258239737,537.7155666235694,835.5112531055167,771.8523243031899,564.153434818243,882.7056333484456,646.9527020690219,869.2898406630829,725.1105369214398,772.5050595244015,608.9176115201547,569.9619555810068,533.0791501614688,618.5579363858442,411.36054210850085,784.9243022705507,748.2837806927115,711.8460117051472,621.0472701240856,559.0643415677962,841.5525560632138,578.2526783655065,686.5898789692218,699.4839614378691,380.9858938656902,683.0260073046107,495.1955014012227,650.4354862184335,667.4678784857218,524.873694152802,397.6886194863066,692.6473466436704,666.7178882427559,626.6082425264465,780.3305011421803,847.5642099848201,783.551137812685,810.2200614493004,711.9419930848455,541.9076426041635,724.159587545997,818.2004440816966,861.0646157332236,842.2056023972692,754.4788407331566,768.2780352513919,762.8107744525332,655.8526723880508,350.8513297037396,647.238160448839,25344.008592023198,9801.350032439726,568.1479446501817
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,224.59906763462928,127.15617054384613,827.028817122547,794.5440144484078,91.87566560922554,237.22691174760627,880.2850101796178,773.663825862447,859.782232478457,765.3182363488548,413.14633274755215,590.8281502544886,186.1156331899834,702.029275973038,312.55112818408713,830.3396356362798,542.8245288412098,813.4889573488257,814.0678445824918,598.9759048448201,912.7353579111723,586.9665621423134,908.7953351504493,764.04977101821,768.4254623192838,385.6395678202979,584.504808867236,294.777828897578,664.2971491562432,243.6791732857028,780.1286387450401,191.4539642948795,766.225672937772,657.6051662136643,591.1152217191978,845.1326492407467,582.8372509897744,628.9704957199609,690.0742841078703,427.6932378768408,618.0012977684465,544.1958034540143,456.14805470803543,675.1269767170547,343.25253334358644,403.9257171805695,710.5257948525837,709.6798316769983,667.6845587625432,795.653862200942,634.6369047484933,694.2400797518505,830.3086232289061,712.5790989299638,555.8542746571765,728.3702576987447,851.562760480532,910.7188017901135,832.4046631641987,768.4754715285999,810.7044113296979,753.006281689276,694.927557871258,1181.9563643019087,340.0659463900572,22881.261608043344,9758.583049960602,439.65277873875146
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,337.56516114601175,218.09914906039756,660.1553293866849,640.96989514161,235.4664354143054,326.90024324199027,702.4951199808539,625.947533572448,697.3389047408407,620.890199783471,344.3616630099112,466.96268729144293,257.7201494016666,562.1191886393602,271.91462415208963,669.7793971253553,436.82219933171257,659.7245058584365,649.16776908697,477.0000922728068,730.8180706733715,483.58613553967336,726.0150016278078,609.3986254725768,620.3091383706618,349.2706125445744,468.81160619008585,278.5835935386219,527.7975936734332,225.26219225439047,629.8687104044643,332.40308849768246,608.5034827361455,523.9771649328287,471.1373590180562,680.8464600548724,469.17588261873425,517.0492697146183,558.0464352546934,336.84922281302875,509.4752004430329,430.3959449323159,401.14921217038074,543.0648012831869,307.94390469700767,324.62950339173693,569.8544512441816,564.8678738180092,531.3291589430678,638.9347357249504,548.2698760030567,575.1169224090352,666.0603836243313,574.4688003401454,445.8119654265016,586.5885384294328,680.9205188201205,725.8243982128824,672.879676278237,617.2474960098813,646.419528149064,608.8585182809455,553.6396230002247,922.0782030933884,326.9196022191976,18872.60244773955,7876.035160439988,376.558213198314
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,488.8222243519734,321.8277559853153,508.2175024823549,514.2000992213304,392.11125749198845,465.4550611995679,540.2875322864047,507.69575498082025,570.8080455889079,508.73861769609385,309.9585262177097,345.1778500313806,367.28168575761106,438.1036013039614,278.3404023599859,537.1067247706058,347.1341737086851,539.8141194153267,497.78412548778834,363.7775437192133,569.5385378512574,418.606764194248,560.7394147193592,467.64970712937253,498.87213119528576,396.39814442075954,367.8201308053676,347.6448705773748,398.74984224291404,268.03333867609496,506.9016563073051,491.1937475629544,458.8623832658205,400.48941418120825,360.5313745463766,543.346435005576,373.31689756069017,444.16676715128585,451.79849718050883,245.3335203830961,441.9721608380605,319.0466683339248,422.78921671814794,430.87968155111645,341.53048831305284,256.70128487800815,446.9911564041001,429.88713741768487,404.01513013129033,503.645736613024,550.3453544648702,507.2317927057544,522.8770854097644,459.6981117124082,349.713795136911,467.5356712552694,527.8389821425109,555.2821990923085,543.960764752202,486.9721907428226,495.4731394473135,492.6948685441673,422.9273342727457,319.7229507642439,422.3499209973661,16400.30914536929,6329.434724214312,368.7081816371948
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira,90.45808202523189,45.90216837147261,482.38559291379374,460.4393660809478,0.30000000000000004,101.42118617474001,513.5244911955257,447.52923599196345,496.58205961553347,441.9481938271254,234.49698659485645,346.68345611905295,79.32576371198287,408.7021114853988,172.33199133452737,481.2129135440583,315.0486286944836,469.8746180282743,475.1111056282406,349.8648172286045,531.375961977936,335.6700915012065,529.8149899055525,445.86719245693473,445.1215925981993,206.5088621223006,339.92916175931265,152.69290153892203,388.56242919842015,128.46040649694177,451.85093640083187,68.34482412029988,448.30649991760407,383.9828162007201,345.09676446704185,490.1707970092643,338.2027777006871,360.19906064281975,399.2971504945563,251.48420935710328,353.2755727872313,319.19213635924035,249.59227841174834,391.93488729414406,185.11653619083242,234.61928689683361,413.2341735609345,414.6575007400529,390.1702589467243,462.3853853383796,351.63472895273975,395.61598375045776,482.83724852156047,413.1090099944922,323.27583181990684,422.53530336667825,496.1703250907809,531.704243584412,481.77188603126467,446.52967912491897,473.17751271586644,435.74679115201053,405.8094998329572,749.563361608099,173.6906463716838,13075.679083433835,5653.490568871155,245.04998788665483
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria,2337.389218399899,1627.0303644202093,0.1,100.1821096410782,2975.300345435985,2126.948869193112,0.1,144.66632313102068,205.13601560462098,186.9344319051936,338.38319706718585,0.1,1682.8786385906697,0.1,550.8010398089575,102.95426939862543,40.46192443248192,192.34365668668545,0.1,0.1,0.1,334.4714263696738,0.1,0.1,107.47733888091463,1035.7035979119714,3.444419911958742,1091.8052366379595,0.1,772.4687537287834,112.01621810398683,2494.3425542745567,0.1,0.1,0.1,82.40715340255592,47.44278454075975,328.8537072437205,122.01810002985016,0.1,360.44086642530624,0.1,915.2512637778772,44.532748008316304,845.9110611479582,19.30066678976243,3.2990000350577766,0.1,0.1,24.538801189782767,1018.7297468159056,477.0845855873283,7.422639409798254,80.05049898466369,2.7580452108566056,66.0285503875209,0.1,0.1,140.3084151586105,27.26545982857726,0.1,131.0896111739786,0.1,0.1,1402.704033120932,13590.290686449984,1324.7787840136293,621.3634345737934
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,1922.037010681264,1334.5333199874726,32.45453866893495,172.6783749728497,2401.5870287389776,1752.7707613975547,30.96435370932039,206.3639341886159,265.32699713311627,239.6936927032621,322.0413750767665,0.1,1386.6404228707809,64.08755874825017,482.7919108454828,179.04528239465276,95.27225459553901,249.62356693924943,18.481898769124037,0.1,83.01258405515037,338.8646057343811,48.07379375341952,19.80330978211383,175.59187111854962,884.575627740047,70.0369221775729,919.6349586519457,0.1,654.6958802330263,180.62037845495567,2045.524975023716,0.1,6.087347327312176,8.390377813633759,164.0783268767995,105.53859923086408,339.1394710042487,178.3743292505302,0.1,363.5025218858008,0.1,794.9705442501456,113.79504445587938,725.7308166099692,62.12605164528578,84.41666713516932,0.1,0.1,111.44068997649721,899.4508230586099,466.89999106528677,101.54202055967323,146.91726328571076,66.1840861091942,137.35865524297446,58.205632117884704,11.940203596940494,209.58626497574696,110.52602348630823,17.018507701541935,192.97338819322292,4.841064870665964,0.1,1177.0605376621993,13657.382769576221,2197.369752574189,554.657440142595
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,374.47817869164794,247.94384415682595,349.5951577201139,356.53753021484926,306.98046173943476,355.0125482949244,371.5841204028209,352.75267238370634,397.27718301216726,354.1424882792199,219.3260181548553,235.49307060492762,280.2056314752616,302.09486941422534,200.86693036513174,372.3937936205664,240.26623971284667,375.67948132923664,342.1491941156349,249.7686374807082,392.7198879528174,294.2633377236949,385.9721425389981,321.4857986002875,346.0723393115492,290.0470996981957,253.9589363670057,257.2821548412659,273.26240363278015,197.26536462603215,351.68701865498446,378.60287845653545,314.337939008003,275.0966671290286,247.70827712479434,376.37536967003655,258.4506831876214,311.8182375747551,313.80811739645156,166.85565114231673,310.80395635038815,217.7929420713307,306.35559833225994,298.1398538320542,249.16410092113298,177.50548415690648,308.6079831084008,295.03532104869333,277.23122119621786,348.0529909159,396.04703768798976,357.7011021355049,361.05700750859853,318.5960104613832,241.4493472498661,323.78399503854877,363.58772956092685,381.4947765608717,377.7171508733834,336.58654447856725,340.5329012620209,342.18245204629034,290.47721235437183,208.13680581025454,313.7782920795735,11536.44984999717,4390.173451395749,264.36572999321754
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Finegoldia,256.2651959666258,168.05543210654227,285.28723199887315,287.3043576066284,188.48583802038524,244.7571597576764,303.32363526600045,283.3260966741845,318.22724871025366,283.5924853429053,171.09601270916076,194.6900469577404,193.09902546115242,245.58255614708833,151.78612587188,300.1159276335122,194.16218425893655,300.96047473513687,279.5580884095756,204.42829103873265,319.2623791616475,231.990754077294,314.65270531854236,262.6110422774884,278.66269208962115,214.276556823739,206.02891621932807,186.54286277679927,224.32711428759583,144.3452565858355,283.1267458391672,256.4135492178912,258.2016641210546,225.00111340754106,202.52415912594813,303.76594779752463,208.77739549509917,246.35184682425145,252.18245202734764,138.62169329795591,244.88490170768088,179.89082144041248,229.96670056057332,241.04625833132914,184.96651690557738,143.66031230876058,250.3820441331001,241.63803048786124,227.11819844977387,281.96053528261416,300.6462443686188,280.5666137935618,292.8627427191361,256.92342759739165,195.89081066299858,261.41950653270874,296.06676741374724,311.93251280476767,303.67471886855225,272.5994224924802,278.2734391303489,275.02460742003797,237.6223058956657,130.11182605054128,226.05527755053157,9085.351280746021,3535.8219093246053,201.88005874030608
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,33.45006666473798,19.244668689158818,312.90640804312557,296.4605895791036,4.700622236152557,38.55703371260211,333.1610234792848,287.5473105119606,318.49797054631387,283.40139069012434,147.33310481569023,226.4053565483371,29.91181440585376,264.5398545525894,104.436443806066,309.8581471666647,203.20550720336666,301.3907002199868,308.3980022266398,227.31110437883734,343.94758234212117,212.80428197758513,343.4783324937166,289.37721718998097,286.4629787380134,120.37506667789158,219.76432579836683,84.86327680433392,252.8531236643802,73.25130625480716,290.7566976438323,28.966771697448657,291.82194767815224,249.38400724433293,224.08328113988495,315.91164551191946,218.08895560113086,228.73680572165063,256.64680680543177,164.61859544934597,223.85853280869108,208.35763593655898,149.7645162644514,252.8706763624536,108.95365620423793,151.46642712947502,267.1673278202018,269.503292393274,253.6248667757165,298.680060639129,214.43334487921484,249.7550083481779,312.12230737221876,266.1111944620852,209.00451895629038,272.3846719857556,321.4609032246861,345.26937719590603,309.7449759928671,288.39265476184994,307.1645444480298,280.10094343842354,263.5845438117118,532.3709792634126,94.4907723432636,8282.437447328102,3638.8790158704146,150.56145634078146
