,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii.29,22873.0,26267.0,24751.0,2.0,30283.0,43710.0,27416.0,83793.0,26648.0,32418.0,33877.0,32433.0,2.0895625486,24357.0,50881.0,25035.0,42314.0,35478.0,29775.0,28009.0,3108.0,35713.0,12231.0,34038.0,66073.0,61480.0,38282.0,79374.0,53380.0,85111.0,60900.0,42343.0,62149.0,74688.0,81637.0,1.8786201473,26490.0,35409.0,68509.0,37722.0,17394.0,10087.0,16122.0,47100.0,52038.0,45960.0,89617.0,52443.0,56513.0,51725.0,53409.0,52089.0,79250.0,61870.0,40046.0,54182.0,70700.0,88590.0,64415.0,50881.0,70137.0,41660.0,2.0,75671.0,27521.0,22156.0,31462.0,32605.0,12767.0,36932.0,73843.0,43164.0,32312.0,14790.0,2072.0,3422.0,43137.0,5751.0,4022.0,7.0,3599.0,8993.0,2512.0,1.76945347759,17565.0,32633.0,1307.0,4785.0,39.0,39.0,1.0,4814.0,7704.0,17354.0,15586.0,23212.0,20692.0,23390.0,33040.0,25255.0,20218.0,3555.0,43716.0,7036.0,14.0,312.0,45.0,23.0,7.0,19.0,56.0,204.0,4242.0,3241.0,12808.0,9976.0,20449.0,34420.0,2.2891624678099998,26477.0,51062.0,33819.0,25339.0,22495.0,12447.0,24422.0,22285.0,29997.0,62450.0,56781.0,39947.0,81165.0,17505.0,19066.0,30839.0,16668.0,3.0,53833.0,30868.0,75118.0,91192.0,93911.0,51349.0,91370.0,123813.0,2.0,101163.0,160393.0,50031.0,32897.0,43510.0,17793.0,29657.0,48342.0,50978.0,109179.0,72340.0,25782.0,75167.0,45590.0,74291.0,76301.0,60215.0,20968.0,36836.0,47478.0,56624.0,72112.0,43263.0,44018.0,54306.0,108452.0,41304.0,38505.0,53760.0,49231.0,23300.0,66477.0,46434.0,54622.0,33397.0,36885.0,33575.0,34534.0,77759.0,39824.0,25961.0,18824.0,18685.0,31879.0,29141.0,53644.0,53613.0,36683.0,1.7602207753299999,36866.0,64182.0,8733.0,19574.0,27633.0,56547.0,31645.0,25518.0,14113.0,30360.0,55055.0,65633.0,66655.0,83362.0,83365.0,106918.0,47938.0,36812.0,30700.0,15686.0,2.46245896855,21150.0,23896.0,47945.0,22170.0,31501.0,48726.0,47545.0,48024.0,51870.0,21695.0,47531.0,33419.0,45036.0,33896.0,52564.0,26120.0,25185.0,63404.0,42614.0,14968.0,35291.0,26516.0,51474.0,53026.0,35579.0,73886.0,58528.0,7644.0,10287.0,25510.0,6912.0,4211.0,7954.0,22252.0,14810.0,6317.0,3391.0,3492.0,13349.0,9627.0,10517.0,12236.0,15619.0,14986.0,14818.0,23338.0,6.0,13582.0,14122.0,20039.0,16384.0,28337.0,12761.0,13556.0,24749.0,30286.0,29136.0,14110.0,15737.0,29577.0,51827.0,13521.0,9678.0,24070.0,22539.0,8124.0,8046.0,13256.0,14897.0,16759.0,4658.0,4585.0,1412.0,2923.0,2966.0,2497.0,1045.0,3575.0,13921.0,9021.0,47336.0,32698.0,26459.0,14712.0,31279.0,7715.0,104.0,624.0,1800.0,486.0,5887.0,752.0,4455.0,3946.0,740.0,6938.0,10926.0,7926.0,4172.0,9873.0,3593.0,10678.0,12461.0,11608.0,12521.0,18069.0,16979.0,16011.0,10936.0,23761.0,20637.0,24819.0,20468.0,24176.0,31549.0,26914.0,30815.0,54723.0,1251.0,907.0,4634.0,5599.0,4560.0,7308.0,12792.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__.52,16293.0,19354.0,22122.0,4.0,30987.0,38993.0,86450.0,27990.0,17005.0,25982.0,18744.0,30359.0,1.77311477537,26940.0,25900.0,31218.0,30131.0,45136.0,24734.0,26026.0,1676.0,23736.0,14988.0,48589.0,45622.0,38418.0,26701.0,1513.0,53797.0,15901.0,113075.0,73265.0,42195.0,46778.0,62090.0,1.45792730575,40350.0,47382.0,72105.0,95624.0,19852.0,6741.0,11088.0,32562.0,18092.0,7090.0,76414.0,29094.0,16832.0,42312.0,41925.0,30084.0,50450.0,31387.0,29944.0,29312.0,60782.0,32281.0,66688.0,29559.0,68633.0,29803.0,1.0,55433.0,21275.0,11537.0,29416.0,49630.0,21754.0,38181.0,15313.0,40639.0,23515.0,13935.0,1675.0,4207.0,7945.0,7752.0,2081.0,10475.0,4569.0,3298.0,27006.0,1.0,6703.0,12709.0,24334.0,20291.0,10046.0,23073.0,2.0,10662.0,25103.0,16914.0,25684.0,28297.0,17746.0,39790.0,27168.0,17137.0,35849.0,8502.0,18584.0,38062.0,15161.0,68186.0,46608.0,59489.0,12428.0,4709.0,19741.0,35480.0,27566.0,47375.0,52579.0,35954.0,27667.0,47530.0,1.6996630429700001,45305.0,13870.0,66718.0,62191.0,73310.0,22266.0,31092.0,11648.0,26918.0,28926.0,8409.0,20519.0,60610.0,3779.0,13843.0,17109.0,12414.0,2.0,46666.0,28517.0,40707.0,60415.0,25078.0,33269.0,56647.0,103921.0,1.88131468074,82814.0,115041.0,35672.0,44005.0,65745.0,24615.0,35664.0,63546.0,36304.0,79823.0,47435.0,59760.0,63585.0,40390.0,47865.0,48221.0,28033.0,123900.0,51731.0,2326.0,52994.0,30804.0,26179.0,37778.0,40468.0,43361.0,28202.0,10151.0,37114.0,34817.0,6333.0,35994.0,32890.0,11352.0,7463.0,12196.0,9452.0,13640.0,42969.0,159.0,39108.0,9074.0,8177.0,21262.0,4899.0,47154.0,17054.0,4389.0,1.0,32416.0,24862.0,1324.0,46683.0,17178.0,35002.0,82529.0,22120.0,46834.0,56197.0,3963.0,19514.0,58925.0,69152.0,79252.0,91762.0,8651.0,16005.0,11697.0,5130.0,1.0,14590.0,32014.0,10219.0,17636.0,504.0,9676.0,14337.0,41644.0,24437.0,4287.0,23864.0,27964.0,34146.0,48033.0,26391.0,9022.0,9883.0,22245.0,1981.0,6529.0,52377.0,21047.0,44048.0,6399.0,11782.0,58769.0,108166.0,964.0,2588.0,5846.0,7296.0,4840.0,7372.0,1040.0,8523.0,25186.0,20163.0,47683.0,8775.0,5196.0,14363.0,6455.0,12852.0,8729.0,8462.0,19707.0,1.0,6280.0,8312.0,5391.0,4956.0,8459.0,14287.0,11572.0,1731.0,8082.0,18691.0,9264.0,16061.0,19343.0,7996.0,9171.0,122.0,532.0,7012.0,7459.0,10447.0,8903.0,20373.0,18290.0,4917.0,1955.0,1716.0,6449.0,1219.0,6144.0,1364.0,10544.0,939.0,11094.0,29511.0,4225.0,19270.0,8133.0,1621.0,37364.0,423.0,4644.0,10085.0,596.0,8337.0,1088.0,15073.0,6509.0,15825.0,11680.0,3187.0,42.0,547.0,10678.0,9789.0,8911.0,13062.0,24810.0,15530.0,7801.0,21306.0,3787.0,8182.0,15137.0,16207.0,4530.0,24143.0,17596.0,25442.0,16631.0,21902.0,34508.0,35.0,2400.0,4124.0,5968.0,9350.0,1296.0,4367.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis.1,4451.0,16197.0,13192.0,4.0818009827,17618.0,25247.0,7235.0,18069.0,18907.0,28027.0,30900.0,24113.0,1.0623486039,11826.0,23471.0,3660.0,22447.0,21758.0,20246.0,31103.0,5202.0,27569.0,3718.0,28843.0,16463.0,35082.0,18849.0,55823.0,36539.0,44053.0,35720.0,67615.0,20742.0,45134.0,61218.0,0.987303745983,13490.0,26184.0,44223.0,35710.0,14642.0,17348.0,29133.0,39441.0,38991.0,22672.0,31364.0,36462.0,55152.0,36581.0,53961.0,43343.0,60920.0,35380.0,29196.0,49520.0,96101.0,46472.0,80188.0,106018.0,61030.0,29810.0,1.8531202048700002,12025.0,19047.0,22454.0,17617.0,6739.0,2432.0,17732.0,21085.0,3189.0,1427.0,2.0,343.0,868.0,1885.0,113.0,300.0,65.0,127.0,1125.0,170.0,1.0,5074.0,7262.0,7.0,6.0,9.0,55.0,4.60155346333,4636.0,2197.0,551.0,627.0,1213.0,1908.0,2923.0,7713.0,11453.0,4027.0,26.0,14803.0,224.0,54.0,352.0,1833.0,869.0,301.0,1630.0,7170.0,1545.0,6540.0,2026.0,11204.0,9622.0,642.0,9421.0,1.09781116902,7763.0,6956.0,49496.0,51882.0,26684.0,2362.0,1849.0,10606.0,18029.0,27823.0,20432.0,22249.0,24969.0,10588.0,8184.0,9839.0,6844.0,2.0,5697.0,5509.0,23452.0,93455.0,30346.0,42573.0,7557.0,9685.0,1.0089054164799998,19579.0,25728.0,15018.0,6934.0,16887.0,19130.0,36514.0,30162.0,5977.0,18686.0,10341.0,5767.0,16346.0,12045.0,42846.0,58091.0,32543.0,2483.0,4603.0,31248.0,22925.0,44158.0,51681.0,24034.0,22145.0,28380.0,20447.0,13587.0,17282.0,33014.0,10392.0,46498.0,39354.0,60135.0,52668.0,41232.0,51832.0,34223.0,36742.0,70057.0,40899.0,9702.0,9503.0,18683.0,39407.0,16954.0,30719.0,18550.0,0.941989914977,7414.0,15370.0,16187.0,4369.0,26999.0,11415.0,10821.0,33435.0,8863.0,7778.0,17928.0,28557.0,45112.0,3267.0,7324.0,22600.0,17131.0,7822.0,8826.0,7420.0,0.9861850825309999,9096.0,20374.0,9671.0,4437.0,12018.0,8792.0,7779.0,2342.0,9614.0,3498.0,7965.0,4006.0,7119.0,2698.0,3100.0,7372.0,33673.0,26546.0,19112.0,7711.0,5223.0,3889.0,2594.0,10653.0,12874.0,51088.0,81176.0,11358.0,37093.0,48349.0,16536.0,7336.0,8098.0,3629.0,5644.0,2792.0,6086.0,3517.0,7047.0,3422.0,5706.0,8681.0,5813.0,5593.0,8678.0,9000.0,3.6286665084800003,10407.0,17020.0,15171.0,7914.0,15160.0,27543.0,7882.0,19407.0,23472.0,26955.0,24708.0,21089.0,20284.0,15386.0,11436.0,1020.0,3231.0,1810.0,3652.0,4705.0,7466.0,2431.0,7377.0,2670.0,3687.0,835.0,1082.0,1530.0,1271.0,507.0,1111.0,9738.0,15951.0,4998.0,10770.0,11911.0,5292.0,15740.0,5296.0,57.0,102.0,644.0,200.0,803.0,533.0,1987.0,581.0,924.0,1068.0,2083.0,3407.0,4317.0,4034.0,2089.0,4519.0,4369.0,5889.0,3606.0,10671.0,5403.0,13738.0,14308.0,27571.0,22028.0,18965.0,9049.0,18394.0,6170.0,12870.0,12105.0,17165.0,1549.0,382.0,5041.0,3375.0,2782.0,5220.0,5495.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__.385,13803.0,25918.0,21015.0,1.0,17478.0,14763.0,14276.0,33347.0,16881.0,22104.0,22977.0,14993.0,1.16929257211,11366.0,23365.0,16163.0,17295.0,22187.0,18349.0,19685.0,3767.0,24745.0,9256.0,25592.0,33238.0,54111.0,14250.0,21173.0,12916.0,36403.0,57440.0,66819.0,26830.0,45304.0,22738.0,1.02705663097,21180.0,36159.0,48982.0,37579.0,10527.0,1992.0,10564.0,25764.0,34717.0,38114.0,47556.0,41252.0,42135.0,27514.0,29771.0,29845.0,36843.0,30011.0,11478.0,21852.0,69447.0,26945.0,35296.0,33964.0,23621.0,30497.0,3.0,14412.0,19061.0,13166.0,20363.0,21325.0,12205.0,14007.0,24880.0,8789.0,4392.0,6512.0,1445.0,1974.0,28057.0,2492.0,2826.0,1.0,1401.0,2814.0,1308.0,0.978919745862,22544.0,8554.0,357.0,278.0,70.0,190.0,6.92351507773,1039.0,741.0,2012.0,849.0,687.0,144.0,395.0,258.0,1648.0,1796.0,488.0,14493.0,191.0,3.0,11.0,7.0,5.0,5.0,2.0,8.0,50.0,2760.0,485.0,3788.0,2704.0,3464.0,11526.0,1.0,12702.0,19763.0,25058.0,36181.0,41337.0,8828.0,6094.0,13167.0,4748.0,14350.0,6130.0,7592.0,20026.0,5604.0,5852.0,8638.0,4548.0,20.7022024515,6335.0,5297.0,13353.0,19623.0,15458.0,42222.0,16054.0,13552.0,1.20909574975,47230.0,50946.0,14740.0,17126.0,28579.0,19969.0,16717.0,15134.0,15974.0,8942.0,8113.0,9055.0,4865.0,5459.0,11910.0,26073.0,32075.0,11350.0,12947.0,16593.0,17906.0,27488.0,19964.0,36693.0,12839.0,19998.0,19509.0,9812.0,21119.0,15186.0,7321.0,28498.0,28732.0,37109.0,31983.0,17699.0,31210.0,21624.0,36235.0,39965.0,30898.0,10224.0,11908.0,15527.0,19049.0,25310.0,36485.0,41415.0,1.0,24928.0,63409.0,25616.0,16419.0,43497.0,43726.0,46414.0,85215.0,29790.0,26212.0,42360.0,69545.0,27673.0,14694.0,27547.0,31038.0,12811.0,16901.0,12378.0,8960.0,1.19289732551,24923.0,14580.0,9896.0,6016.0,15399.0,21877.0,24842.0,19276.0,44601.0,7334.0,21782.0,21633.0,24562.0,19841.0,34943.0,21602.0,25338.0,19315.0,23784.0,10187.0,10021.0,6732.0,22651.0,22712.0,24639.0,37070.0,53020.0,9306.0,5783.0,18265.0,5647.0,2622.0,3190.0,5469.0,6557.0,4625.0,2874.0,6608.0,3775.0,1100.0,4156.0,5860.0,4241.0,3466.0,2562.0,2020.0,3.0,3732.0,5014.0,6564.0,4527.0,4751.0,15132.0,4984.0,8910.0,13410.0,9508.0,8334.0,8173.0,14935.0,13462.0,11244.0,2409.0,4498.0,4365.0,3293.0,3338.0,5028.0,4695.0,3067.0,810.0,902.0,323.0,1420.0,1700.0,4603.0,488.0,1385.0,5357.0,13095.0,5631.0,4756.0,3504.0,2026.0,5595.0,3793.0,84.0,886.0,2397.0,86.0,1004.0,134.0,1812.0,3678.0,8852.0,2300.0,4065.0,5055.0,6865.0,3533.0,4868.0,6404.0,6080.0,6250.0,6430.0,8712.0,3636.0,7926.0,6853.0,14389.0,12122.0,17049.0,13897.0,9213.0,12914.0,9345.0,11858.0,11776.0,991.0,597.0,5793.0,7777.0,3393.0,5003.0,8422.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__.51,3501.0,5430.0,5755.0,2.9238968031299994,4059.0,12738.0,23330.0,7103.0,6790.0,6024.0,4436.0,11195.0,1.11764665417,10701.0,10749.0,13455.0,11697.0,12385.0,19917.0,12765.0,518.0,8267.0,10774.0,13324.0,23853.0,26736.0,9771.0,210.0,12407.0,5215.0,33872.0,7219.0,27695.0,19092.0,23972.0,0.821432884664,14694.0,7918.0,14197.0,33852.0,10520.0,2381.0,3003.0,11823.0,2646.0,638.0,23317.0,4670.0,5020.0,7400.0,5399.0,5558.0,7324.0,4744.0,12041.0,19199.0,9749.0,10711.0,29757.0,8648.0,14771.0,10114.0,1.0,26102.0,15075.0,3163.0,10915.0,13175.0,4670.0,19530.0,13878.0,34185.0,23928.0,44.0,400.0,1464.0,16580.0,6395.0,2319.0,1631.0,4616.0,2048.0,22156.0,0.670640995447,4411.0,6820.0,18112.0,14580.0,16433.0,26101.0,3.0,9724.0,20584.0,36597.0,34970.0,35984.0,24541.0,36700.0,31897.0,13831.0,31358.0,5810.0,6391.0,31326.0,5870.0,6105.0,40850.0,23065.0,8576.0,3593.0,14286.0,32668.0,13949.0,34542.0,32313.0,24853.0,26363.0,16218.0,1.0,21398.0,17007.0,3408.0,5718.0,10568.0,4945.0,12494.0,5664.0,13805.0,10798.0,14179.0,13130.0,17432.0,1515.0,5631.0,8340.0,2888.0,43.8448891967,24203.0,18468.0,16156.0,50342.0,18337.0,13978.0,38291.0,70639.0,1.0,69532.0,89795.0,17204.0,34813.0,34327.0,5974.0,13356.0,44255.0,11519.0,44854.0,37083.0,24624.0,35639.0,5303.0,26820.0,42214.0,10643.0,62576.0,39845.0,3403.0,56882.0,11902.0,8353.0,12747.0,25364.0,30699.0,7421.0,2891.0,31001.0,35306.0,6668.0,7697.0,15721.0,6185.0,553.0,12958.0,5995.0,6799.0,8266.0,85.0,4797.0,8487.0,7020.0,4817.0,793.0,21257.0,12303.0,6261.0,0.674805100987,37095.0,23588.0,227.0,32767.0,24701.0,62060.0,75234.0,6354.0,15029.0,43392.0,1529.0,5714.0,18486.0,43414.0,31210.0,70829.0,3830.0,15350.0,7926.0,1791.0,1.17278032689,5257.0,16943.0,3618.0,8060.0,510.0,6139.0,2759.0,29282.0,11034.0,5653.0,11287.0,10614.0,24601.0,43754.0,25250.0,4327.0,908.0,8009.0,2034.0,2160.0,35698.0,7099.0,58303.0,7787.0,4060.0,26860.0,48330.0,423.0,904.0,2714.0,108.0,986.0,792.0,1334.0,3667.0,12123.0,15068.0,29520.0,4884.0,5034.0,9379.0,1484.0,6446.0,4104.0,4057.0,11364.0,0.742748511374,526.0,1557.0,848.0,2329.0,4497.0,978.0,8364.0,2332.0,8863.0,5733.0,5501.0,9241.0,6376.0,13689.0,8379.0,120.0,257.0,7588.0,5199.0,8675.0,5129.0,19947.0,11659.0,2376.0,641.0,403.0,5313.0,400.0,4231.0,213.0,4799.0,1120.0,371.0,14262.0,1285.0,5264.0,3745.0,195.0,16389.0,152.0,2089.0,5587.0,220.0,6264.0,515.0,10046.0,4728.0,8997.0,6849.0,2326.0,22.0,113.0,4226.0,4208.0,4542.0,6905.0,4959.0,9731.0,9890.0,11565.0,1242.0,2441.0,6206.0,4490.0,3267.0,7006.0,9939.0,23644.0,20708.0,21922.0,25196.0,48.0,950.0,1571.0,3585.0,7179.0,1221.0,2521.0
