,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__parvula,1.175232953105487,2.8161425967278886,2.4789486179011937,1.6970199899978156,2.9566838762358,2.3200319777175595,4.169271716815208,3.727713557556111,3.5554589979693696,2.576956087341184,3.5284347455848053,3.03914263834111,2.5003854968286823,5.088416501292493,2.6996142827315928,2.1010102501767527,3.0689065875239376,3.633917871357921,3.4693119517064908,2.140038711543648,2.392370984427775,1.6500604077064989,10.088536121168179,13.915928642590186,3.5682352481780004,4.0478244366171765,3.6095199839374357,2.3032006021912883,2.9795684278674823,2.304389215941708,2.665837009232876,2.062793427562499,1.601765162033569,3.3148831321750407,3.0401644195284505,3.540090098814064,3.2615013815166125,3.8470847192288327
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__,1.4169886614276803,4.019582563055868,4.032778448027466,2.266513980034837,4.191599256415502,3.0950391391015666,5.036717130360086,4.342887586680516,4.125735959012158,3.1679361056912168,4.462809618482943,4.6878100344972315,3.4142845827606005,6.344863694503919,3.4698805316752406,2.6837698358765016,3.7069790319256737,4.632966155966358,4.313091291469459,2.163372192375302,2.2577306831788637,0.1,9.224724651900818,17.27504193099292,4.241874873051652,4.2396818936689415,3.5570635296679374,2.7513016736385167,3.9142516261418634,2.8362926908433663,3.416666008868246,3.432422117006532,2.4517550143981968,3.96441885574248,3.8294953432427414,4.188711492882868,3.945646174825853,4.5222293953924435
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium; s__,1.2301697728739196,3.5467843244050505,3.5966774812026157,1.987874143899586,3.6963568240298894,2.7142480891939407,4.373561761896541,3.7564251753869997,3.567036780910954,2.7558430620858867,3.893519588449623,4.163480299393947,3.0007246239118714,5.527546708531821,3.0320853080560277,2.343722906094615,3.218862866096845,4.045177521560877,3.756358263177951,1.8399735294115904,1.9026727070498188,0.1,7.739380841092684,15.042925937595507,3.677087992029489,3.6220331578895952,3.015297024729141,2.3862118219432373,3.4276518305752317,2.467648875053168,2.9847430834749717,3.066445108156288,2.176172040453768,3.4387775339776594,3.3396185842779107,3.629173022604395,3.4266545982066883,3.915365132083264
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__torques,19.50659213053752,67.25519132804288,75.45395345165261,35.41093419420654,69.67220005675837,48.29403161948034,69.52358673532436,56.88875741641221,53.718662968628436,44.77327219481888,65.41917903703813,84.08165263167533,54.63301199098669,91.35032312173134,51.872277492388704,39.82108600889175,51.160459155790136,68.58238873289505,61.8600784758269,21.819045627386107,19.10937898523049,0.1,70.85397747942706,247.29484210013862,57.241441020928036,46.12515090737874,33.783857779483945,37.38443338704985,60.02995751013914,40.150357359599816,50.90118046390321,65.30620196127985,43.692600133007886,53.956950341971066,55.84894192686338,56.142325505383795,54.56927282384197,60.03402766925006
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__,4.542289663628333,21.686362755686933,27.647804509863306,10.373515378150561,22.273946384942487,14.120237132842801,16.28371712340423,11.783055096729125,10.95351594319384,11.013578641477244,17.246742996280513,29.459910214371604,16.579019355716156,23.29634789771857,14.153882043642373,10.726239496354518,11.978555865328092,18.398200653239623,15.660780221919222,1.0561147671929103,0.1,0.1,0.1,62.37792735947665,12.746313838138322,4.554259601480206,0.19230975573795334,8.457323997760659,17.084785507077573,9.908059418594934,13.807185158649288,24.33298099107529,15.19904025035614,12.251924823764904,14.587634703684618,12.304743241281722,12.834635348667366,12.857354782644384
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__dolichum,10.121372900939127,13.605115859835534,3.5398563812679766,10.854918456479506,14.771731386617935,14.900727203071567,35.73969529747529,34.6911501413018,33.369096223990155,21.154719579574547,26.829768907356247,8.712398804903298,14.717341603486984,40.24471778119362,19.582812598246,15.525668334522365,26.31459400385504,27.005038876364488,27.658715529329573,25.54293309175047,31.296777163131328,138.77441150394841,137.02791024870172,111.37678139897275,31.76053280514049,45.793509376742705,44.648645201346405,20.273930942941693,20.171287588301198,18.8586157777143,19.504984938214125,1.6379172827301585,4.914822138662778,29.10068958089819,23.38562102486012,31.846191510798672,27.863156135676174,35.11499963900972
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae,0.5942171170690373,1.7420979526841354,1.7856150179096302,0.9704114143546926,1.8144655993309515,1.324854895651731,2.11304358229638,1.8074761788850096,1.7155569111802256,1.3339893279534232,1.8903595686729304,2.0584579442120603,1.467942215945335,2.6797087367058325,1.4745506660169936,1.13906883732005,1.5551420504687206,1.9656038194174947,1.820477466131104,0.8694902635058817,0.8900676636423853,0.1,3.602448217368676,7.289251185868419,1.7733754284314092,1.7199321986965548,1.4197257291445402,1.1514395819190646,1.6705654192018826,1.194641862086422,1.451104924191868,1.524932585462228,1.0752477085457444,1.659558547230557,1.6207418612247046,1.7493412732946236,1.6558116211412222,1.8858882217590325
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,243.0051128543306,889.7330082664847,1026.771425782681,459.46083400314336,920.0563713573317,626.3850007803006,866.9102820615735,696.0874634071026,655.8089176986878,562.8288753079644,832.3053251616399,1132.5556050610435,713.8171684830344,1155.4421849605392,664.0746552368114,508.59375375263124,637.8990218186178,875.2845382410197,781.4459397138214,237.14910450488446,185.94206032572015,0.1,638.2889632867848,3121.97922073806,708.0700939250987,521.3257631675393,354.76569233992967,463.584059630915,774.5821939336214,504.98846290071253,650.9386965715008,892.1569964656463,587.5823130146043,669.4824658043084,709.3746431556959,692.7789537797822,680.9012513634083,738.2146252715272
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__,15.446355741865649,59.17867435384029,69.65394971418303,30.131663689161435,61.11692814141631,41.06720136078742,55.14536376597154,43.608533188039225,41.00849113930324,36.03152509728513,53.78127267444808,76.29225084069405,47.05264781290077,74.32603600788761,43.114723023439524,32.961153368533694,40.57582389904008,56.69385803035228,50.218729381788386,13.32158063141532,9.184355340629708,0.1,28.216586311348323,200.5323577295087,44.753887677850926,30.44361901218637,19.20838361661883,29.359230639650985,50.58810215929674,32.342320595205216,42.22724846096102,60.68285485032925,39.53709933818569,42.418868607954494,45.77981588033046,43.701089316390274,43.33634508188031,46.435179248016176
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella; s__,0.18155385362679455,0.19657770624588414,0.1,0.17795004209932772,0.21730901126910512,0.2446395283181028,0.6403423608098135,0.6338115803807219,0.6108166724619323,0.3748365610741921,0.4654034034590331,0.1,0.2336086127255492,0.7059473263735374,0.33492414692933664,0.2670437553506753,0.4715075386784516,0.4652790552789775,0.486237756386082,0.4898859206165024,0.6090582240223709,3.044559157314456,2.6814853533350553,1.9600816034283064,0.5743017843083248,0.8701638619687571,0.8613510674666615,0.3656206655824711,0.3373555939508873,0.33387850565767313,0.3344779046811799,0.1,0.1,0.5244599737363059,0.4070154973249881,0.5773006601437387,0.4987943064277494,0.6387210929803299
